_id,search_text,link,comp_name,address,from_google,from_website,from_dnb,from_oc,from_avention
5eb652de55de509b4a9efaf4,edquire.com,https://edquire.com/,edQuire,"Unit  41 , 159 Arthur Street Homebush West,  NSW 2140 Australia","['Level 2 - 41/159 Arthur St, Homebush West NSW 2140, Australia', ['edQuire - FIC Technology Pty Ltd, address', 'knowledge_panel']]","['Unit  41 , 159 Arthur Street Homebush West,  NSW 2140 Australia', '41 /159 Arthur Street Homebush NSW Australia', 'Unit  41 , 159 Arthur Street, Homebush West, Sydney, NSW Australia 2140', 'Unit  41 , 159 Arthur Street, Homebush West, NSW 2140 Australia', 'Unit  41 , 159 Arthur Street, Homebush West, NSW 2140']",None,None,"['U 7 186-188 Canterbury Rd Canterbury, New South Wales, 2193 Australia', '/company/6393a9b4-f86a-394e-9efe-1913c1eb6738']"
5eb65433af5bcc3efe32c504,www.edval.education,https://www.edval.education/,Edval Timetables,"Suite  2 , 83-97 Kippax St SURRY HILLS NSW 2010 Australia",None,"['Suite  2 , 83-97 Kippax St SURRY HILLS NSW 2010 Australia', 'Suite  2 , 83-97 Kippax Street Surry Hills, NSW 2010']",None,None,"['G 83 83-97 Kippax Street Surry Hills, New South Wales, 2010 Australia', '/company/aa32e82f-75a4-366e-874e-03be695e0eb9']"
5eb6556c29c37695bc97bec4,emarkingassistant.com/,http://emarkingassistant.com/,eMarking Assistant,"Unit  5 , 1 Goldner Circuit, Melba, ACT 2615",None,"['Unit  5 , 1 Goldner Circuit, Melba, ACT 2615']",None,None,None
5eb6567909d0de1b6b708cf8,www.equ.com.au/,https://equ.com.au/,Equilibrium,"Level  1 , 77 King St   Perth WA 6000","['5/12 Glasson Dr, Bethania QLD 4205, Australia', ['Equilibrium Australia, address', 'knowledge_panel']]","['Level  1 , 77 King St   Perth WA 6000']",None,None,"['20 Derbyshire Rd Leichhardt, New South Wales, 2040 Australia (Primary Address) Show Secondary', '/company/29d487a4-37c4-398a-a139-a947d9e96706']"
5eb657e754ee9cbe1a7388c8,essayassignmenthelp.com.au/,https://essayassignmenthelp.com.au/,Essay Assignment Help,None,None,None,None,None,None
5eb65942b46918d079adebe9,fitzroyacademy.com/,https://fitzroyacademy.com/,Fitzroy Academy,"88 Nicholson St, Fitzroy VIC 3065, Australia","['88 Nicholson St, Fitzroy VIC 3065, Australia', ['Academy of Mary Immaculate, address', 'knowledge_panel']]",None,"['236 Johnston St Fitzroy, VICTORIA, 3065 Australia', 'https://www.dnb.com/business-directory/company-profiles.biba_academy_of_hair__beauty_pty_ltd.6d0ba24cf986ec7f0428aaac2bebabf2.html']",None,"['Academy Of Mary Immaculate 88 Nicholson Street Fitzroy, Victoria, 3065 Australia', '/company/fced891f-4162-342d-8209-e23389532623']"
5eb65a927cb5b3a1ff4ae362,Fluid Learning Courses Brisbane austraila,https://www.fluidfirstaid.com.au/,Fluid Learning Courses Brisbane austraila,"4 Sibley Street, North Lakes, QLD 4509",None,"['4 Sibley Street, North Lakes, QLD 4509', '4 Sibley St, North Lakes Qld 4509', 'PO Box 2167 REDCLIFFE NORTH Qld 4020', '528 Kingsford-Smith Drive, Hamilton, QLD 4007', '4 Sibley St NORTH LAKES Qld 4509', '4 Sibley St, NORTH LAKES Qld 4509', '528 Kingsford-Smith Drive Hamilton Qld 4007']","['L 9 133 Mary St Brisbane City, QUEENSLAND, 4000 Australia', 'https://www.dnb.com/business-directory/company-profiles.tafe_queensland.269277c8fdc52444c746405cd19c7717.html']",None,None
5eb65b645417d406270e7e63,foundr.com/,https://foundr.com/,Foundr Magazine,"231 , Chapel St Prahran, VIC Australia","['Level 1/60 Wilson St, South Yarra VIC 3141, Australia', ['Foundr Magazine, address', 'knowledge_panel']]","['231 , Chapel St Prahran, VIC Australia', 'Level  1 , 60 Wilson Street South Yarra 3141 VIC Australia', '231 Chapel St, Prahran, Victoria Australia 3181']",None,None,None
5eb65d83728ad01002b3a5f6,www.funnelback.com,https://www.funnelback.com/home,Funnelback,"51 Allara Street   Canberra , ACT 2601 Australia",None,"['51 Allara Street   Canberra , ACT 2601 Australia', '51 Allara Street Canberra, ACT 2601', 'Level  1 , 100 Tory Street, Te Aro Wellington 6011 New Zealand', '12 Gipps St, Collingwood   Melbourne , VIC 3066 Australia', 'Level  3 , 142-146 Elizabeth St   Hobart , TAS 7000', 'Level  1 , 100 Tory Street, Te Aro Wellington 6011', 'Level  2 , North Tower 10 Browning St   Brisbane , QLD 4101 Australia', 'Level  1 , 100 Tory Street Te Aro   Wellington , 6011 New Zealand', '25 Franklin Street   Adelaide , SA 5000 Australia', '25 Franklin Street Adelaide , SA 5000 Australia', '51 Allara Street Canberra, ACT 2601 Australia', '51 Allara Street Canberra , ACT 2601 Australia', '10 Browning St Brisbane , QLD 4101 Australia', 'Level  3 , 142-146 Elizabeth St Hobart , TAS 7000 Australia', 'Suite 600   Seattle , WA 9812', 'Level  1 , 507 Murray Street, Perth   Perth , WA 6000', '51 Allara Street   Canberra , ACT 2601', '12 Gipps St, Collingwood   Melbourne , VIC 3066', 'PO Box 3141 South Brisbane QLD 4101', 'Level  3 , 142-146 Elizabeth St   Hobart , TAS 7000 Australia', 'Level  1 , 507 Murray Street Perth   Perth , WA 6000 Australia', '25 Franklin Street   Adelaide , SA 5000', 'Level  1 , 100 Tory Street Te Aro Wellington 6011', 'Level  2 , North Tower 10 Browning St   Brisbane , QLD 4101', 'Level  1 , 507 Murray Street, Perth   Perth , WA 6000 Australia']","['G 51 ALLARA STREET CANBERRA, AUSTRALIAN CAPITAL TERRITORY, 2601 Australia', 'https://www.dnb.com/business-directory/company-profiles.funnelback_pty_ltd.722a698e639cd67e2e94f37209de6f91.html']",None,"['G 51 Allara Street Canberra, Australian Capital Territory, 2601 Australia', '/company/069f0544-f3a3-3688-9398-a3020997d980']"
5eb65f2cde8cab37cd68dffd,www.navitas.com/,https://www.navitas.com/,Navitas,"Level  8 , Brookfield Place, 125 St Georges Terrace, Perth WA 6000","['211 Newcastle St, Perth WA 6000, Australia', ['Navitas English Perth, address', 'knowledge_panel']]","['Level  8 , Brookfield Place, 125 St Georges Terrace, Perth WA 6000', 'Level  8 Brookfield Place 125 St Georges Terrace PERTH WA 6000 Australia']","['L 8 Brookfield Pl 125 St Georges Tce Perth, WESTERN AUSTRALIA, 6000 Australia', 'https://www.dnb.com/business-directory/company-profiles.navitas_limited.b27728407e450b2c25a9dfa7ee563689.html']","['C & A Accounting Services Limited, 12a Jack Conway Avenue, Manukau, Auckland2104NZ', 'https://opencorporates.com/companies/nz/1204356']","['L 3 255 Elizabeth Street Sydney, New South Wales, 2000 Australia', '/company/a34df7cb-cf1e-327c-a010-e831723c5e55']"
