_id,search_text,link,comp_name,contact_person,from_website,from_google,from_crunchbase,from_dnb,from_oc,from_owler,from_oc_agent,from_li,cb_link
5eb676209d0d155a1c6530f3,www.3dorganon.com/,https://www.3dorganon.com/,Medis Media,"[' Athanasios Raikos', 'founder(s)']",None,None,"[' Athanasios Raikos', 'founder(s)']",None,None,"['Antonio Dos Santos', 'CEO']",None,"[['Athanasios Raikos ', 'Assistant Professor of Anatomy ..._LinkedIn'], ['Ana Casic ', 'Media Relations Coordinator ..._LinkedIn'], ['Georgie Mitchell ', 'Student_Bond University'], ['Gary Hamlin ', 'Associate Dean Student Affairs ..._LinkedIn']]",https://www.crunchbase.com/organization/medis-media
5eb6777b140e783b3524f4d9,millipede.com.au,https://millipede.com.au/,Milliped,"['Wil Monte', 'Founder, Managing Director']","['Wil Monte', 'Founder, Managing Director']","['Wil Monte - Founder', 'founder']",None,None,None,None,None,"[['Yonatan Feldman ', 'Chief Technology Officer ..._LinkedIn'], ['christopher nagy ', 'Director of Research and ..._LinkedIn']]",https://www.crunchbase.com/organization/milliped
5eb6783b3dd775bea489b02d,www.minded.co.nz,https://www.minded.co.nz/,Minded,"['Robyn Hunter', 'CEO']",None,"['Robyn Hunter', 'CEO']",None,"[['Shayne Patrick HODGE', 'Director']]","[['James Tavita WOLLERMAN', ' director']]",None,None,"[['Thor Mitchell ', 'Product Minded_LinkedIn'], ['Jack Riordan ', 'Sr. Account Manager_Master Minded ...'], ['David Robson ', 'Marketing Manager_Like'], ['Jason Camp ', 'Web Manager_Mission Minded'], ['Hanna Castrén', 'Niemi_Commercial & creativity'], ['Josep Amoros ', 'Data Minded Manager_BBVA Data ...']]",https://www.crunchbase.com/organization/women-s-agenda
5eb67952c38498d75c86627f,www.modernstar.com/,https://www.modernstar.com/,Modern Star,"['Peter Boyd', 'Group CEO']","['Peter Boyd', 'Group CEO']","['Peter Boyd - Group', 'CEO']",None,"[['ROBERT JOHN DAVIS', 'Director'], ['JAMES BARKLEY CRADDOCK', 'Director'], ['PETER JOHN BOYD', 'Director'], ['ROBERT JOHN DAVIS', 'Secretary']]",None,None,None,"[['Peter Boyd ', 'Group CEO_Modern Star'], ['Janet Cutler ', 'General Manager_Modern Star'], ['Chantelle Cornick ', 'Customer Service Manager_Modern Star ...'], ['Phil Machin ', 'Customer Service Manager_Modern Star ...'], ['Matthew Arecco ', 'Modern Star_LinkedIn'], ['Michelle Kelly ', 'General Manager_ Education_Modern Star ...'], ['Matthew Brown ', 'General Manager_Modern Star'], ['Praveen Chananna ', 'Finance Manager_Modern Star'], ['Merve Tekin ', 'Brand Manager_Modern Star']]",https://www.crunchbase.com/organization/modern-star
5eb67a4c109ddab70aec7b2d,www.motivationalspeakeradelaide.com.au/,https://www.motivationalspeakeradelaide.com.au/,Motivational Speaker Adelaide,"['Angela Schelp', 'CEO']",None,None,None,None,None,"['Angela Schelp', 'CEO']",None,"[['motivational speaker Adelaide ', 'Speaker_Resultz ...']]",https://www.crunchbase.com/organization/motivational-speaker-adelaide
5eb67bc12373d9a910e8750f,www.myassignmentservices.com,https://www.myassignmentservices.com/,My Assignment Services,"['Julia Miles ', 'IT expert_Freelancer']",None,None,None,None,None,None,None,"[['Julia Miles ', 'IT expert_Freelancer'], ['Mark Philip ', 'Assignment writer ..._LinkedIn'], ['Jennifer Smith ', 'Online Branding Manager ..._LinkedIn']]",https://www.crunchbase.com/organization/my-assignment-services
5eb67d3dd9818bcd44884d39,myfocusbook.com.au,https://www.crunchbase.com/organization/my-focusbook,My Focusbook,['None'],None,None,None,None,None,None,None,None,https://www.crunchbase.com/organization/my-focusbook
5eb67e66b7921dcf1c2e6805,www.mygeniusmind.com/,https://www.mygeniusmind.com/,My Genius Mind,"['Robyn Hunter', 'CEO']",None,"['Robyn Hunter', 'CEO']",None,None,None,None,None,None,https://www.crunchbase.com/organization/my-genius-mind
5eb67fa821374c1c36ea76bb,www.myassignmenthelp.net/,https://www.myassignmenthelp.net/,MyAssignmentHelp.net,"['julia ray ', 'www.myassignmenthelp.net_LinkedIn']",None,None,None,None,None,None,None,"[['julia ray ', 'www.myassignmenthelp.net_LinkedIn']]",https://www.crunchbase.com/organization/myassignmenthelp-net
5eb680d98c70c48229cd26b6,myassignmenthelpaustralia.com.au/,https://myassignmenthelpaustralia.com.au/,myassignmenthelpaustralia,['None'],None,None,None,None,None,None,None,None,https://www.crunchbase.com/organization/myassignmenthelpaustralia
