_id,search_text,title,link,comp_name,query_id,addresses,emails,telephone_numbers,guided_lda_results,textrank_results,kpe_results,wordcloud_results_tri,oc_cp_info,dnb_cp_info,linkedin_cp_info,comp_type_pred,company_size_li,description_li,founded_li,headquarters_li,image_li,industry_li,name_li,num_employees_li,specialties_li,type_li,website_li,agent_address_oc,agent_name_oc,alternative_names_oc,business_classification_text_oc,company_number_oc,company_type_oc,directors_or_officers_oc,incorporation_date_oc,jurisdiction_oc,previous_company_numbers_oc,registered_address_adr_oc,registry_page_oc,status_oc,company_address_dnb,company_contacts_dnb,company_related_industries_dnb,company_revenue_dnb,company_snapshot_dnb,company_summary_dnb,company_tp_dnb,company_trade_name_dnb,company_type_dnb,company_web_dnb,alexa_rank,alexa_pageviews,important_person_company,google_cp,Company Type_cb,Contact Email_cb,Facebook_cb,Founded Date_cb,Founders_cb,Headquarters Regions_cb,IPO Status_cb,Industries_cb,Number of Employees_cb,Operating Status_cb,Phone Number_cb,Twitter_cb,Website_cb,comp_description_cb,comp_headquaters_cb,comp_name_cb,google_tp,google_address
5eb672382cf60f5b673dc845,www.logitrain.com.au,Logitrain: IT Training_ Computer Courses_ IT Courses,https://www.logitrain.com.au/,Logitrain,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6734f61272a1489607d7c,www.managementtutors.com/,Management Tutors | Online Assignment Help Native Writers,https://www.managementtutors.com/,Management Tutors,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6746b3f8078c646a32068,www.mathsrepublic.com.au,MathsRepublic: Problem-based Lessons & Tasks,https://www.mathsrepublic.com.au/,MathsRepublic,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb675384beae11731a0ce35,me3d.com.au/,Me3D,https://me3d.com.au/,Me3D,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb676209d0d155a1c6530f3,www.3dorganon.com/,Homepage - 3D ORGANON,https://www.3dorganon.com/,Medis Media,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6777b140e783b3524f4d9,millipede.com.au,Millipede – Our work,https://millipede.com.au/,Milliped,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6783b3dd775bea489b02d,www.minded.co.nz,Minded,https://www.minded.co.nz/,Minded,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb67952c38498d75c86627f,www.modernstar.com/,Modern Star: Home,https://www.modernstar.com/,Modern Star,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb67a4c109ddab70aec7b2d,www.motivationalspeakeradelaide.com.au/,Motivational Speaker Adelaide,https://www.motivationalspeakeradelaide.com.au/,Motivational Speaker Adelaide,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb67bc12373d9a910e8750f,www.myassignmentservices.com,My Assignment Services,https://www.myassignmentservices.com/,My Assignment Services,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb67d3dd9818bcd44884d39,myfocusbook.com.au,My Focusbook | Crunchbase,https://www.crunchbase.com/organization/my-focusbook,My Focusbook,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb67e66b7921dcf1c2e6805,www.mygeniusmind.com/,Online Homework Tutoring Help – All Assignment Solutions,https://www.mygeniusmind.com/,My Genius Mind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb67fa821374c1c36ea76bb,www.myassignmenthelp.net/,MyAssignmentHelp.net,https://www.myassignmenthelp.net/,MyAssignmentHelp.net,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
